DOB,M_STATUS,SALARY,EDU_DATA,EMP_DATA,REL_ORIEN,FAV_TV,PREF_CAR,GENDER,FAV_CUIS,FAV_MUSIC,ENDU_LEVEL,FAV_SPORT,FAV_COLR,NEWS_SOURCE,DIST_FRM_COAST,MNTLY_TRAVEL,GEN_MOVIES,FAV_SUBJ,ALCOHOL,FAV_SUPERHERO,Dist_Coast,Class
7/22/1964,Married,,Post-Graduate,Unemployed,Believer,How I Met your mother,Ford,Male,Thai,Heavy Metal,6 to 10,Rugby,Green,New York Times,10-25 KM,250-500 KM,Comedy,Art,Gin,The hulk,462.0,y
9/9/1981,Unmarried,300k-500k,High-School,Employed,Believer,Big Bang Theory,Daimler-Benz,Male,Mexican,Country,12 to 15,Basketball,Orange,Associated Press,60-80 KM,500-1000 KM,Thriller,Maths,Non Drinkers,NOISE,269.0,y
5/8/1978,Married,,High-School,Employed,Believer,Flash,Suzuki,Male,Thai,Heavy Metal,6 to 10,Basketball,White,Fox News,10-25 KM,0-250 KM,Horror,Chemistry,Rum,spiderman,1308.0,x
6/21/1978,,300k-500k,Graduate,Employed,Agnostic,Friends,Audi,Male,Lebanese,Heavy Metal,3 to 5,volleyball,Green,BBC,0-10 KM,0-250 KM,Romantic,English,wine,Ironman,1039.0,y
12/14/1968,Unmarried,500k-700k,High-School,Unemployed,Agnostic,Prison Break,BMW,,Chinese,Heavy Metal,1 to 3,volleyball,Black,Fox News,10-25 KM,0-250 KM,Thriller,Biology,Vodka,Thor,272.0,y
1/25/1971,,100k-300k,Uneducated,Employed,Believer,Friends,Nissan,,Italian,Rap,6 to 10,Soccer,White,MSN,0-10 KM,0-250 KM,Comedy,Art,Vodka,Thor,603.0,y
11/28/1965,Married,,Post-Graduate,Unemployed,Believer,Friends,Toyota,Male,Mexican,Light Metal,6 to 10,Rugby,White,Fox News,25-40 KM,1000-1500 KM,Drama,Chemistry,Vodka,Batman,334.0,y
9/8/1992,Married,100k-300k,Graduate,Unemployed,Believer,Friends,Suzuki,,Mediterranean,Rap,6 to 10,Rugby,Yellow,BBC,0-10 KM,0-250 KM,Horror,Chemistry,wine,superman,1162.0,y
10/27/1978,Unmarried,,Graduate,Employed,Believer,Breaking Bad,Audi,Female,Mediterranean,Rock,20+,Soccer,Blue,CNN,25-40 KM,250-500 KM,Horror,Economics,Beer,superman,326.0,y
12/18/1984,Divorced,0-100K,Graduate,Self-Employed,Agnostic,Game of Thrones,Ford,Male,NOISE,Country,12 to 15,Swimming,Red,Huffington Post,40-60 KM,1000-1500 KM,Romantic,Commerce,Whiskey,Ironman,921.0,x
11/28/1988,Unmarried,0-100K,Uneducated,Self-Employed,Believer,Prison Break,Ford,Male,Lebanese,Heavy Metal,3 to 5,Basketball,Black,Fox News,0-10 KM,0-250 KM,Thriller,Biology,Whiskey,Thor,201.0,x
5/29/1960,Married,0-100K,Graduate,Unemployed,Agnostic,Breaking Bad,Ford,Female,NOISE,Rock,18-20,Cricket,purple,Associated Press,10-25 KM,1500-2000 KM,Horror,Economics,Beer,spiderman,1376.0,y
4/5/1994,Married,300k-500k,Post-Graduate,Unemployed,Agnostic,Friends,Ford,Female,French,Rap,6 to 10,Swimming,White,MSN,0-10 KM,0-250 KM,Action,Biology,Vodka,wonder woman,1176.0,x
10/12/1988,Married,0-100K,Graduate,Self-Employed,Believer,Breaking Bad,GM,Male,Mexican,Hip-Hop,15-18,Basketball,Blue,CNN,25-40 KM,1000-1500 KM,Historical,Commerce,Beer,Ironman,1497.0,y
